userId,movieId,rating
731,29122,3.4
31,295914,3.9
848,2959,3.6
777,8818,3.1
557,4551,3.0
401,126319,1.9
262,9899,4.0
89,325133,2.1
860,246403,2.5
119,10858,1.1
139,190955,2.3
880,1493,0.4
337,39013,3.0
150,35073,3.4
810,10935,2.8
966,11702,2.8
71,253412,4.5
691,27578,0.2
282,15670,3.1
34,26367,2.0
245,693,0.6
137,347764,4.7
238,25704,0.8
36,4836,0.6
714,11284,3.0
969,671,5.0
686,12573,0.9
463,9428,2.4
632,11156,2.2
871,271969,1.7
628,348,3.4
308,205584,2.4
412,86812,2.9
664,9869,2.3
666,39055,4.4
360,34563,0.6
28,38363,1.3
830,22617,4.4
616,8046,3.5
615,13515,0.2
503,49365,4.2
527,15239,3.5
848,10195,3.6
525,57212,3.9
120,64678,3.8
728,22798,4.6
346,49051,0.1
855,26428,0.8
667,34086,0.7
485,1282,2.1
368,174,2.8
237,222936,3.6
797,9486,2.5
444,16241,1.4
544,4553,1.4
194,37931,0.5
123,792,5.0
590,44113,4.7
37,577,0.3
54,83,4.3
400,8987,3.9
165,504,0.6
593,112430,2.8
488,2667,1.2
384,244339,4.8
335,862,4.6
213,18206,2.9
120,4513,0.1
140,235,0.8
11,15017,4.5
959,10480,0.3
446,310569,4.5
423,25678,4.2
742,77016,4.7
88,362765,3.0
273,323270,2.3
827,10514,2.4
165,9516,1.1
252,73,4.5
994,57800,1.0
708,6968,3.5
54,10425,0.1
258,12312,0.7
192,746,1.4
391,9294,4.8
870,12244,0.8
356,6217,2.0
126,4512,3.8
606,31064,0.2
40,50546,3.0
579,1598,0.1
720,34813,1.2
894,1701,3.9
9,44718,0.9
36,239571,0.8
672,283671,4.0
550,53182,4.5
410,6978,3.1
841,9899,3.9
75,70436,4.3
417,27588,2.6
472,19187,2.0
110,12144,3.1
548,9016,4.8
195,158015,3.6
236,172385,0.6
730,63574,0.4
628,82505,0.7
949,146631,2.3
287,260947,2.0
737,36351,3.2
157,20761,2.0
954,334527,3.4
688,10013,3.9
503,34769,2.4
294,258509,4.4
739,34016,3.1
736,11232,1.0
514,13408,4.6
456,75900,0.2
490,202604,2.9
934,2277,0.5
152,426067,1.1
117,38780,2.9
412,535,0.1
254,9036,3.6
198,115872,4.3
645,9894,1.8
911,69668,1.2
66,59981,0.6
809,203833,0.2
763,10741,1.0
390,10214,4.3
74,246403,1.3
915,20763,3.7
717,11024,0.6
31,17334,0.3
785,283384,1.5
162,8359,4.1
432,28211,3.0
875,9624,3.8
316,9067,4.5
297,24356,2.6
664,4347,3.1
579,2142,3.3
489,109421,3.7
243,13158,3.0
969,392,0.9
699,1878,2.2
402,38843,0.7
78,61012,0.2
454,13132,3.7
16,5966,1.3
29,245916,3.2
656,8656,0.1
582,30890,4.6
997,154,4.8
796,10052,2.3
472,10061,4.3
970,309919,0.7
779,175528,2.5
616,29920,4.2
253,8293,3.2
688,339408,2.0
